location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGF_R,IGF_R,AKT,ERK,a_ERK,a_AKT
52,56,124,quiescent,126,12,28,28.5,8,3,28,192,1,0.0990286,0.772773,3.50654e-13,2.6329e-08,0.824775,14.3,44
43,51,125,quiescent,59,22,28,29,8,1,28,192,1,0.0988638,0.769941,4.32789e-12,2.70047e-07,0.820738,14.3,44
52,44,126,quiescent,66.5,37,28,36.5,8,1,28,192,1,0.0994508,0.780478,1.54583e-12,1.10125e-07,0.835219,14.3,44
55,54,131,quiescent,122,4,28,32,8,3,28,192,1,0.0991615,0.775344,3.95605e-13,2.83872e-08,0.828045,14.3,44
56,50,133,quiescent,183.5,31,28,32,8,5,28,192,1,0.0994348,0.78008,1.57168e-14,2.533e-09,0.834821,14.3,44
49,56,134,quiescent,77,10,28,35.5,8,1,28,192,1,0.0989843,0.771951,3.61914e-12,2.46488e-07,0.823684,14.3,44
48,44,135,quiescent,109.5,27,28,40,8,2,28,192,1,0.0992664,0.77672,5.49274e-13,4.56699e-08,0.830638,14.3,44
56,53,139,quiescent,93,42,28,28,8,2,28,192,1,0.0992479,0.776914,5.62276e-13,4.66357e-08,0.83018,14.3,44
53,55,141,quiescent,120,0,28,29,8,3,28,192,1,0.099059,0.773404,1.66965e-13,1.28739e-08,0.825521,14.3,44
53,56,142,quiescent,146,4,28,28,8,4,28,192,1,0.0990582,0.773331,7.98321e-14,6.27969e-09,0.825504,14.3,44
56,52,149,quiescent,63.5,31,28,32,8,1,28,192,1,0.0992848,0.77764,5.44158e-13,4.55733e-08,0.831094,14.3,44
44,48,150,quiescent,88.5,33,28,30.5,8,2,28,192,1,0.0989285,0.77108,3.39708e-13,2.57636e-08,0.822322,14.3,44
43,49,151,quiescent,68,40,28,31.5,8,1,28,192,1,0.0988891,0.770402,1.73044e-12,1.19226e-07,0.821359,14.3,44
43,53,152,quiescent,164.5,41,28,34,8,3,28,192,1,0.0988874,0.770333,7.20527e-13,5.40524e-08,0.821317,14.3,44
43,48,153,quiescent,114.5,37,28,43.5,8,2,28,192,1,0.0989219,0.770927,8.3127e-13,5.85239e-08,0.82216,14.3,44
50,57,154,quiescent,67,38,28,38,8,1,28,192,1,0.0990143,0.772411,3.3199e-12,2.35013e-07,0.824419,14.3,44
51,56,155,quiescent,40,32,28,40,8,0,28,192,1,0.0990071,0.772365,5.87312e-12,4.39402e-07,0.824238,14.3,44
48,56,157,quiescent,58,20,28,29,8,1,28,192,1,0.098985,0.771925,7.37886e-12,4.99754e-07,0.823695,14.3,44
57,51,161,alive,148.5,9,28,20,8,4,28,192,0,0.0993949,0.780933,2.70169e-14,3.41957e-09,0.832515,14.3,44
53,44,162,alive,94.5,45,28,17,8,2,28,192,0,0.0994874,0.784085,1.54941e-13,1.66095e-08,0.830878,14.3,44
43,50,163,quiescent,33.5,19,28,33.5,8,0,28,192,1,0.0988691,0.770061,4.0852e-12,2.6157e-07,0.820866,14.3,44
52,57,163,quiescent,127,14,28,38,8,2,28,192,1,0.0990383,0.772869,3.62141e-13,2.68095e-08,0.825014,14.3,44
42,51,165,quiescent,114,36,28,41,8,2,28,192,1,0.0988623,0.769827,1.43284e-12,1.07817e-07,0.820704,14.3,44
41,51,168,quiescent,129,18,28,29,8,3,28,192,1,0.0988676,0.769768,3.14713e-13,2.50366e-08,0.820834,14.3,44
50,43,171,quiescent,167,46,28,29,8,4,28,192,1,0.0994312,0.779827,2.8816e-14,3.52897e-09,0.834732,14.3,44
56,54,172,quiescent,80.5,17,28,34,8,1,28,192,1,0.0992142,0.776337,6.30409e-13,5.00855e-08,0.829345,14.3,44
43,52,176,quiescent,70.5,45,28,33.5,8,1,28,192,1,0.0988693,0.770022,1.29402e-12,1.01621e-07,0.820876,14.3,44
49,57,189,quiescent,99.5,7,28,28.5,8,2,28,192,1,0.0990184,0.772426,4.98128e-13,4.42966e-08,0.824525,14.3,44
57,52,190,alive,120,0,28,11.5,8,3,28,192,0,0.0993434,0.786053,5.5428e-14,6.97043e-09,0.785401,14.3,44
43,47,193,quiescent,100.5,9,28,36.5,8,2,28,192,1,0.0989653,0.771601,1.31724e-13,1.11904e-08,0.823223,14.3,44
57,53,195,quiescent,64,32,28,29,8,1,28,192,1,0.099298,0.777972,2.47901e-13,2.16387e-08,0.831421,14.3,44
42,48,197,quiescent,93,42,28,33,8,2,28,192,1,0.0989197,0.770867,4.29474e-13,2.97899e-08,0.822108,14.3,44
44,46,200,quiescent,137,34,28,57,8,2,28,192,1,0.0990199,0.772492,2.59506e-13,2.25589e-08,0.824561,14.3,44
51,57,199,quiescent,66,36,28,38,8,1,28,192,1,0.0990227,0.772563,1.49991e-12,1.11071e-07,0.824629,14.3,44
42,49,200,quiescent,95.5,47,28,31.5,8,2,28,192,1,0.0988861,0.770303,4.2992e-13,2.96907e-08,0.821286,14.3,44
47,44,208,quiescent,119,46,28,32.5,8,2,28,192,1,0.0992192,0.775897,3.61623e-13,3.66549e-08,0.829471,14.3,44
56,55,209,quiescent,131.5,23,28,31.5,8,3,28,192,1,0.0991977,0.775979,3.98174e-14,4.29081e-09,0.828939,14.3,44
48,43,212,quiescent,133.5,27,28,38,8,3,28,192,1,0.0993453,0.778079,6.49103e-14,5.52653e-09,0.832596,14.3,44
41,50,217,quiescent,90,36,28,29.5,8,2,28,192,1,0.0988671,0.769867,5.03009e-13,3.2439e-08,0.820824,14.3,44
48,57,219,quiescent,135,30,28,29.5,8,3,28,192,1,0.0990277,0.772546,1.47303e-13,1.2144e-08,0.824754,14.3,44
57,54,226,quiescent,72.5,1,28,38,8,1,28,192,1,0.0992679,0.777377,2.69825e-13,2.27904e-08,0.830675,14.3,44
57,55,230,quiescent,102,12,28,37,8,2,28,192,1,0.0992507,0.776988,9.42451e-14,9.42176e-09,0.830249,14.3,44
52,58,237,quiescent,130,20,28,28,8,3,28,192,1,0.0990514,0.773031,5.11036e-14,4.88523e-09,0.825335,14.3,44
45,46,238,quiescent,28,8,28,28,8,0,28,192,1,0.099037,0.772793,9.59033e-13,6.23635e-08,0.824981,14.3,44
41,49,239,quiescent,62,28,28,34,8,1,28,192,1,0.0988872,0.77026,4.40784e-13,3.02212e-08,0.821313,14.3,44
51,58,240,quiescent,86.5,29,28,29,8,2,28,192,1,0.0990395,0.772821,1.96291e-13,1.94124e-08,0.825042,14.3,44
40,48,245,quiescent,85.5,27,28,28,8,2,28,192,1,0.098922,0.770882,1.78454e-13,1.33924e-08,0.822163,14.3,44
43,46,249,quiescent,171.5,7,28,36.5,8,4,28,192,1,0.0990167,0.772374,1.26651e-14,1.67642e-09,0.824483,14.3,44
42,47,254,quiescent,137,34,28,76,8,2,28,192,1,0.0989668,0.771613,7.67489e-14,8.43654e-09,0.823261,14.3,44
40,49,263,quiescent,95,46,28,38.5,8,2,28,192,1,0.0988854,0.77019,1.23436e-13,1.09442e-08,0.821271,14.3,44
41,54,265,alive,190,44,28,2.5,8,5,28,192,0,0.0989296,0.643103,1.61119e-14,1.91435e-09,0.429383,14.3,44
41,47,275,quiescent,102.5,13,28,34,8,2,28,192,1,0.0989742,0.77177,5.72663e-14,5.26112e-09,0.823442,14.3,44
53,57,280,quiescent,90,36,28,30,8,2,28,192,1,0.0990635,0.773356,6.86235e-14,5.74791e-09,0.825633,14.3,44
52,59,286,quiescent,94.5,45,28,65,8,1,28,192,1,0.0990656,0.77322,1.53878e-13,1.225e-08,0.825685,14.3,44
56,56,290,quiescent,184.5,33,28,29,8,5,28,192,1,0.0992252,0.775992,1.77889e-15,3.03745e-10,0.829619,14.3,44
41,48,291,quiescent,45,42,28,45,8,0,28,192,1,0.0989204,0.770872,4.20635e-13,2.93348e-08,0.822124,14.3,44
52,60,293,quiescent,190,44,28,29.5,8,5,28,192,1,0.0990743,0.773379,5.613e-15,7.87362e-10,0.825897,14.3,44
39,49,304,quiescent,184.5,33,28,36,8,5,28,192,1,0.0988826,0.770083,2.29382e-15,3.49815e-10,0.821202,14.3,44
40,50,314,quiescent,93.5,43,28,29.5,8,2,28,192,1,0.0988701,0.769818,4.18987e-14,4.41761e-09,0.820896,14.3,44
53,58,320,quiescent,40,32,28,40,8,0,28,192,1,0.0990723,0.773443,1.69413e-13,1.29157e-08,0.825849,14.3,44
54,56,323,quiescent,32.5,17,28,32.5,8,0,28,192,1,0.0990966,0.774037,1.69237e-13,1.29706e-08,0.826447,14.3,44
55,56,324,quiescent,39,30,28,39,8,0,28,192,1,0.0991418,0.77487,2.88392e-13,2.40179e-08,0.827558,14.3,44
53,59,324,quiescent,100.5,9,28,33,8,2,28,192,1,0.0990812,0.773542,2.63614e-14,2.48481e-09,0.826068,14.3,44
53,60,326,quiescent,154,20,28,28,8,4,28,192,1,0.0990848,0.773594,2.82406e-15,3.88842e-10,0.826157,14.3,44
45,55,331,quiescent,175.5,15,28,45,8,3,28,192,1,0.0989545,0.771482,2.79565e-14,2.57435e-09,0.822958,14.3,44
55,55,339,quiescent,29.5,11,28,29.5,8,0,28,192,1,0.0991472,0.77503,3.97254e-13,2.84528e-08,0.827692,14.3,44
41,55,345,quiescent,137,34,28,34,8,3,28,192,1,0.0989691,0.771755,3.41204e-14,3.9499e-09,0.823317,14.3,44
54,57,347,quiescent,60,24,28,30,8,1,28,192,1,0.0990992,0.774022,2.97717e-14,2.66991e-09,0.82651,14.3,44
40,55,349,quiescent,115,38,28,53,8,2,28,192,1,0.0989636,0.771693,4.76151e-14,4.74867e-09,0.823181,14.3,44
47,47,358,quiescent,15,30,14,15,8,0,14,192,1,0.0990455,0.772959,1.22961e-11,8.98483e-07,0.825171,14.3,44
54,58,366,quiescent,136.5,33,28,33.5,8,3,28,192,1,0.0991135,0.774115,1.77059e-15,3.00337e-10,0.826864,14.3,44
55,57,371,quiescent,93.5,43,28,31,8,2,28,192,1,0.0991783,0.775052,7.05206e-15,8.86742e-10,0.82846,14.3,44
51,60,379,quiescent,173,10,28,39.5,8,4,28,192,1,0.0990846,0.773448,9.67221e-16,2.18459e-10,0.826152,14.3,44
48,46,380,quiescent,29,10,28,29,8,0,28,192,1,0.0991335,0.774479,7.26545e-13,5.38857e-08,0.827355,14.3,44
55,58,390,quiescent,105,18,28,36.5,8,2,28,192,1,0.0991546,0.774975,2.52671e-15,3.67342e-10,0.827875,14.3,44
47,46,406,quiescent,58.5,21,28,29,8,1,28,192,1,0.0990908,0.773782,8.0626e-13,7.76062e-08,0.826302,14.3,44
46,46,407,quiescent,77.5,11,28,77.5,8,0,28,192,1,0.0990619,0.773233,3.2842e-13,2.53623e-08,0.825593,14.3,44
45,47,433,quiescent,29.5,11,28,29.5,8,0,28,192,1,0.0989821,0.771996,3.257e-13,2.51709e-08,0.823635,14.3,44
53,43,450,alive,179,22,28,3,8,5,28,192,0,0.0996006,0.690857,3.37403e-15,5.79567e-10,0.453672,14.3,44
52,61,463,quiescent,180,24,28,34,8,4,28,192,1,0.0990858,0.773545,8.51881e-16,1.49377e-10,0.82618,14.3,44
49,43,479,quiescent,159,30,28,30,8,3,28,192,1,0.0993904,0.778991,4.78247e-15,7.03706e-10,0.833717,14.3,44
53,61,488,quiescent,59.5,23,28,30,8,1,28,192,1,0.0990856,0.77363,5.7399e-15,7.97139e-10,0.826176,14.3,44
52,62,500,quiescent,127.5,15,28,28,8,3,28,192,1,0.0990964,0.77372,3.97947e-16,9.80745e-11,0.826442,14.3,44
53,62,509,quiescent,93,42,28,28,8,2,28,192,1,0.0990927,0.773739,1.90031e-15,3.1734e-10,0.826351,14.3,44
47,56,508,quiescent,75.5,7,28,39,8,1,28,192,1,0.0989888,0.771981,5.07011e-13,4.47311e-08,0.823799,14.3,44
46,56,513,quiescent,63,30,28,34,8,1,28,192,1,0.0989961,0.772111,1.06536e-12,9.2264e-08,0.823976,14.3,44
45,56,522,quiescent,75,6,28,36.5,8,1,28,192,1,0.0990063,0.772306,8.86928e-15,1.00099e-09,0.82423,14.3,44
